EVENT,FIGHTER,WEIGHT_CLASS,WEIGH_IN_WEIGHT,FIGHT_NIGHT_WEIGHT,WEIGHT_INCREASE,PERCENTAGE_REGAINED,SEX,,REPEATS
1- UFC 227,Alex Perez,Flyweight,126.0,146.5,20.5,16.270,M,,0
1- UFC 227,Brett Johns,Bantamweight,135.2,158.0,22.8,16.864,M,,0
1- UFC 227,Cody Garbrandt,Bantamweight,134.7,142.0,7.3,5.419,M,,0
1- UFC 227,Cub Swanson,Featherweight,145.2,160.5,15.3,10.537,M,,0
1- UFC 227,Danielle Taylor,Women's Strawweight,115.4,124.5,9.1,7.886,F,,0
1- UFC 227,Demetrious Johnson,Flyweight,125.0,142.0,17.0,13.600,M,,0
1- UFC 227,Henry Cejudo,Flyweight,124.5,141.0,16.5,13.253,M,,0
1- UFC 227,JJ Aldrich,Women's Strawweight,115.8,130.5,14.7,12.694,F,,0
1- UFC 227,Jose Torres,Flyweight,125.0,143.0,18.0,14.400,M,,0
1- UFC 227,Kevin Holland,Middleweight,184.7,193.0,8.3,4.494,M,,0
1- UFC 227,Kyung Ho Kang,Bantamweight,136.0,154.0,18.0,13.235,M,,0
1- UFC 227,Marlon Vera,Bantamweight,135.5,150.0,14.5,10.701,M,,0
1- UFC 227,Matt Sayles,Featherweight,145.7,165.0,19.3,13.246,M,,0
1- UFC 227,Montel Jackson,Bantamweight,136.0,152.0,16.0,11.765,M,,0
1- UFC 227,Pedro Munhoz,Bantamweight,135.0,151.0,16.0,11.852,M,,0
1- UFC 227,Polyana Viana,Women's Strawweight,115.0,129.5,14.5,12.609,F,,0
1- UFC 227,Renato Moicano,Featherweight,146.0,165.5,19.5,13.356,M,,0
1- UFC 227,Ricardo Ramos,Bantamweight,135.5,153.5,18.0,13.284,M,,0
1- UFC 227,Ricky Simon,Bantamweight,135.2,152.0,16.8,12.426,M,,0
1- UFC 227,Sheymon Moraes,Featherweight,146.0,164.0,18.0,12.329,M,,0
1- UFC 227,Thiago Santos,Middleweight,185.5,209.5,24.0,12.938,M,,0
1- UFC 227,TJ Dillashaw,Bantamweight,135.0,149.5,14.5,10.741,M,,0
